codigo;entidade;tipoentidade;nif;rua;localidade;codigopostal;descrpostal;email;telefone;fax;sitio;presidentecamara;areaha;populacao;eleitores;codigoine
2612;CANTANHEDE;Município;506087000;Praça Marquês de Marialva - Apartado 154;CANTANHEDE;3064-909;CANTANHEDE;geral@cm-cantanhede.pt;231410100;231410199;www.cm-cantanhede.pt;João Carlos Vidaurre Pais de Moura;390.88;36595;35884;602
2613;CARRAZEDA DE ANSIÃES;Município;506666018;Rua Jerónimo Barbosa;CARRAZEDA DE ANSIÃES;5140-077;CARRAZEDA DE ANSIÃES;geral.cmcrz@mail.telepac.pt;278610200;278616404;www.cm-carrazedadeansiaes.pt;José Luís Correia;279.24;6373;7651;403
2614;CARREGAL DO SAL;Município;506684920;Praça do Município;CARREGAL DO SAL;3430-909;CARREGAL DO SAL;geral@cm-carregal.pt;232960400;232960409;www.cm-csal.pt;Rogério Mota Abrantes;116.89;9835;10144;1802
2615;CARTAXO;Município;506780902;Praça 15 de Dezembro;CARTAXO;2070-050;CARTAXO;correio@cm-cartaxo.pt;243700250;243700268;www.cm-cartaxo.pt;Pedro Miguel Magalhães Ribeiro;158.18;24458;20580;1406
2616;CASCAIS;Município;505187531;Praça 5 de Outubro;CASCAIS;2754-501;CASCAIS;gab.municipe@cm-cascais.pt;214825000;214825030/214825057;www.cm-cascais.pt;Carlos Manuel Lavrador de Jesus Carreiras;97.39;206429;159516;1105
2617;CASTANHEIRA DE PÊRA;Município;506731324;Praça Visconde de Castanheira de Pêra;CASTANHEIRA DE PÊRA;3280-017;CASTANHEIRA DE PÊRA;camara@cm-castanheiradepera.pt;236430280;236432307;www.cm-castanheiradepera.pt;Fernando José Pires Lopes;66.77;3191;3252;1007
2618;CASTELO BRANCO;Município;501143530;Praça do Município;CASTELO BRANCO;6000-148;CASTELO BRANCO;camara@cm-castelobranco.pt;272330330;272330324;www.cm-castelobranco.pt;Luís Manuel dos Santos Correia;1438.19;56109;51082;502
2619;CASTELO DE PAIVA;Município;502678917;Largo do Conde Sobrado;CASTELO DE PAIVA;4550-102;CASTELO DE PAIVA;gap.presidente@cm-castelo-paiva.pt;255689500;255699660;www.cm-castelo-paiva.pt;Gonçalo Fernando da Rocha de Jesus;115.01;16733;14908;106
2620;CASTELO DE VIDE;Município;506796035;Rua Bartolomeu Álvares da Santa;CASTELO DE VIDE;7320;CASTELO DE VIDE;cm.castvide@mail.telepac.pt;245908220;245901827   ;www.cm-castelo-vide.pt;António Manuel das Neves Nobre Pita;264.9;3407;3154;1205
2621;CASTRO DAIRE;Município;506716210;Rua Dr. Pio Figueiredo N.º 42;CASTRO DAIRE;3600-214;CASTRO DAIRE;geral@cm-castrodaire.pt;232382214;232382923;www.cm-castrodaire.pt;José Fernando Carneiro Pereira;379.06;15339;16535;1803
2622;CASTRO MARIM;Município;506801969;Rua Dr. José Alves Moreira, N.º 10;CASTRO MARIM;8950-138;CASTRO MARIM;expediente@cm-castromarim.pt;281510740;281510743;www.cm-castromarim.pt;Francisco Augusto Caimoto Amaral;300.85;6747;5980;804
2623;CASTRO VERDE;Município;501135960;Praça do Município;CASTRO VERDE;7780-217;CASTRO VERDE;geral@cm-castroverde.pt;286320700;286320709;www.cm-castroverde.pt;Francisco José Caldeira Duarte;569.38;7276;6591;206
2624;CELORICO DA BEIRA;Município;506849635;Rua Sacadura Cabral;CELORICO DA BEIRA;6360-350;CELORICO DA BEIRA;recursosfinanceiros@cm-celoricodabeira.pt;271747400;271747409;www.cm-celoricodabeira.pt;José Francisco Gomes Monteiro;247.22;7693;8890;903
2625;CELORICO DE BASTO;Município;506884929;Praça Cardeal D. António Ribeiro;CELORICO DE BASTO;4890-220;CELORICO DE BASTO;geral@mun-celoricodebasto.pt;255320300;255323937;www.mun-celoricodebasto.pt;Joaquim Monteiro da Mota e Silva;181.07;20098;19751;305
2626;CHAMUSCA;Município;501305564;Rua Direita de São Pedro;CHAMUSCA;2140-098;CHAMUSCA;contab.cmc@mail.telepac.pt;249769100;249760211;www.cm-chamusca.pt;Paulo Jorge Mira Lucas Cegonho Queimado;745.99;10120;9528;1407
2627;CHAVES;Município;501205551;Largo de Camões;CHAVES;5400-150;CHAVES;municipio@chaves.pt;276340500;276327724;www.cm-chaves.pt;António Cândido Monteiro Cabeleira;591.23;41243;46701;1703
2628;CINFÃES;Município;506693651;Largo Paços do Concelho;CINFÃES;4690-031;CINFÃES;daf@cm-cinfaes.pt;255560560;255560569;www.cm-cinfaes.pt;Armando da Silva Mourisco;239.29;20427;19115;1804
2629;COIMBRA;Município;506415082;Praça 8 de Maio;COIMBRA;3000-300;COIMBRA;geral@cm-coimbra.pt;239857500;239820114;www.cm-coimbra.pt;Manuel Augusto Soares Machado;319.4;143396;127220;603
2630;CONDEIXA-A-NOVA;Município;501275380;Largo Artur Barreto;CONDEIXA-A-NOVA;3150-128;CONDEIXA-A-NOVA;geral@cm-condeixa.pt;239949120;239942711;www.cm-condeixa.pt;Nuno Moita da Costa;138.67;17078;12658;604
2631;CONSTÂNCIA;Município;506826546;Estrada Nacional, N.º 3;CONSTÂNCIA;2250-028;CONSTÂNCIA;geral@cm-constancia.pt;249730050;249739514;www.cm-constancia.pt;Júlia  Maria Gonçalves Lopes de Amorim;80.37;4056;3463;1408
2632;CORUCHE;Município;506722422;Edifício Paços do Concelho,  Praça da Liberdade;CORUCHE;2100-121;CORUCHE;geral@cm-coruche.pt;243610200;243610201;www.cm-coruche.pt;Francisco Silvestre de Oliveira;1115.72;19944;18754;1409
2633;CORVO;Município;512065837;Rua Jogo da Bola;CORVO;9980-024;CORVO;cmcorvo@mail.telepac.pt;292590200;292596120;www.cm-corvo.pt;José Manuel Alves da Silva;17.11;430;349;4901
2634;COVILHÃ;Município;505330768;Praça do Município;COVILHÃ;6200-407;COVILHÃ;info@cm-covilha.pt;275330600;275330633;www.cm-covilha.pt;Vitor Manuel Pinheiro Pereira;555.6;51797;51119;503
2635;CRATO;Município;506659968;Praça do Município;CRATO;7430-999;CRATO;geral@cm-crato.pt;245990110;245996679;www.cm-crato.pt;José Correia da Luz;398.04;3708;3619;1206
2636;CUBA;Município;500832935;Rua Serpa Pinto;CUBA;7940-172;CUBA;geral@cm-cuba.pt;284419900;284415137;www.cm-cuba.pt;João Manuel Casaca Português;172.07;4878;4142;207
2637;ELVAS;Município;501272968;Rua Isabel Maria Picão - Apartado 70;ELVAS;7350-953;ELVAS;presidente@cm-elvas.pt;268639740;268629060;www.cm-elvas.pt;Nuno Miguel Fernandes Mocinha;631.2;23078;20288;1207
2638;ENTRONCAMENTO;Município;501120149;Largo José Duarte Coelho;ENTRONCAMENTO;2330-078;ENTRONCAMENTO;geral@cm-entroncamento.pt;249720400;249718615;www.cm-entroncamento.pt;Jorge Manuel Alves de Faria;13.73;20206;16730;1410
2639;ESPINHO;Município;501158740;Praça Dr. José Salvador - Apartado 700;ESPINHO;4500-901;ESPINHO;geral@cm-espinho.pt;227335800;227335852;www.cm-espinho.pt;Joaquim José Pinto Moreira;21.06;31786;31460;107
2640;ESPOSENDE;Município;506617599;Praça do Município;ESPOSENDE;4740-223;ESPOSENDE;nuno.vicente@cm-esposende.pt;253960100;253960176;www.cm-esposende.pt;António Benjamim da Costa Pereira;95.41;34254;31848;306
2641;ESTARREJA;Município;501190082;Praça Francisco Barbosa;ESTARREJA;3864-001;ESTARREJA;geral@cm-estarreja.pt;234840600;234840607;www.cm-estarreja.pt;Diamantino Manuel Sabina;108.17;26997;25051;108
2642;ESTREMOZ;Município;506556590;Rossio Marquês de Pombal;ESTREMOZ;7100-513;ESTREMOZ;contabilidade@cm-estremoz.pt;268339200;268334010;www.cm-estremoz.pt;Luis Filipe Pereira Mourinha;513.8;14298;13238;704
2643;ÉVORA;Município;504828576;Praça do Sertório;EVORA;7004-506;EVORA;cmevora@mail.evora.net;266777000;266702950;www.cm-evora.pt;Carlos Manuel Rodrigues Pinto de Sá;1307.03;56596;47923;705
2644;FAFE;Município;506841561;Avenida 5 de Outubro;FAFE;4820-501;FAFE;geral@cm-fafe.pt;253700400;253700409;www.cm-fafe.pt;Raul Jorge Fernandes da Cunha;219.08;50633;50030;307
2645;FARO;Município;506579425;Largo da Sé;FARO;8004-001;FARO;geral@cm-faro.pt;289870870;289870039;www.cm-faro.pt;Rogério Conceição Bacalhau Coelho;201.59;64560;54017;805
2647;FELGUEIRAS;Município;501091823;Praça da República;FELGUEIRAS;4610-116;FELGUEIRAS;geral@cm-felgueiras.pt;255318000;255318170;www.cm-felgueiras.pt;José Inácio Cardoso Ribeiro;115.74;58065;49955;1303
2648;FERREIRA DO ALENTEJO;Município;501227490;Praça Comendador Infante Passanha, N.º 5;FERREIRA DO ALENTEJO;7900-571;FERREIRA DO ALENTEJO;geral@cm-ferreira-alentejo.pt;284738700;284739250;www.cm-ferreira-alentejo.pt;Aníbal Sousa Reis Coelho da Costa;648.38;8255;7797;208
2649;FERREIRA DO ZÊZERE;Município;501216839;Praça Dias Ferreira;FERREIRA DO ZÊZERE;2240-340;FERREIRA DO ZÊZERE;geral@cm-ferreiradozezere.pt;249360150;249360169;www.cm-ferreiradozezere.pt;Jacinto Manuel Lopes Cristas Flores;190.39;8619;8271;1411
2652;FIGUEIRA DA FOZ;Município;501305580;Avenida Saraiva de Carvalho;FIGUEIRA DA FOZ;3084-501;FIGUEIRA DA FOZ;municipe@cm-figfoz.pt;233403300;233403310;www.figueiradigital.com;João Albino Rainho Ataide das Neves;379.05;62105;58469;605
2651;FIGUEIRA DE CASTELO RODRIGO;Município;505987449;Largo Dr. Vilhena, N.º 1;FIGUEIRA DE CASTELO RODRIGO;6440-100;FIGUEIRA DE CASTELO RODRIGO;cm-fcr@cm-fcr.pt;271319000;271319009;www.cm-fcr.pt;Paulo José Gomes Langrouva;508.57;6260;6561;904
2650;FIGUEIRÓ DOS VINHOS;Município;506546381;Praça do Município;FIGUEIRÓ DOS VINHOS;3260-408;FIGUEIRÓ DOS VINHOS;presidencia@cm-figueirodosvinhos.pt;236559550;236552596;www.cm-figueirodosvinhos.pt;Jorge Manuel Fernandes de Abreu;173.44;6169;6513;1008
2653;FORNOS DE ALGODRES;Município;505592959;Estrada Nacional, N.º 16;Fornos de Algodres;6370-999;FORNOS DE ALGODRES;geral@cm-fornosdealgodres.pt;271700060;271700068;www.cm-fornosdealgodres.pt;António Manuel Pina Fonseca;131.45;4989;5489;905
2654;FREIXO DE ESPADA À CINTA;Município;506884937;Av.ªGuerra Junqueiro;Freixo de Espada à Cinta;5180-104;FREIXO DE ESPADA À CINTA;geral@cm-freixoespadacinta.pt;279658160;279658165;www.cm-freixoespadacinta.pt;Maria do Céu Quintas;244.18;3780;3978;404
2655;FRONTEIRA;Município;501162941;Praça do Município;FRONTEIRA;7460-110;FRONTEIRA;municipio@cm-fronteira.pt;245600070;245600099;www.cm-fronteira.pt;Rogério David Sádio da Silva;248.62;3410;3226;1208
2656;FUNCHAL;Município;511217315;Praça do Município;FUNCHAL;9004-512;FUNCHAL;cmf@cm-funchal.pt;291211000;291226343;www.cm-funchal.pt;Paulo Alexandre Nascimento Cafôfo;76.14;111892;105855;3103
2657;FUNDÃO;Município;506215695;Praça do Município;FUNDÃO;6230-338;FUNDÃO;geral@cm-fundao.pt;275779060;275779079;www.cm-fundao.pt;Paulo Alexandre Bernardo Fernandes;700.12;29213;30240;504
2659;GAVIÃO;Município;506865517;Largo do Município;GAVIÃO;6040-102;GAVIÃO;geral@cm-gaviao.pt;241639070;241639079;www.cm-gaviao.pt;José Fernando da Silva Pio;294.59;4132;4131;1209
2658;GÓIS;Município;506613399;Praça da República;GÓIS;3330-310;GÓIS;correio@cm-gois.pt;235770110;235770114;www.cm-gois.pt;Maria de Lurdes de Oliveira Castanheira;263.3;4260;4196;606
2660;GOLEGÃ;Município;506563774;Largo D.Manuel I;GOLEGÃ;2150-128;GOLEGÃ;geral@cm-golega.pt;249979050;249979059;www.cm-golega.pt;Rui Manuel Lince Singeis Medinas Duarte;76.62;5465;4768;1412
2661;GONDOMAR;Município;506848957;Praça Manuel Guedes;GONDOMAR;4420-193;GONDOMAR;c.m.gondomar@mail.telepac.pt;224660500;224660566;www.cm-gondomar.pt;Marco André dos Santos Martins Lopes;131.86;168027;140083;1304
2662;GOUVEIA;Município;506510476;Avenida 25 de Abril;GOUVEIA;6290-554;GOUVEIA;geral@cm-gouveia.pt;238490210;238494686;www.cm-gouveia.pt;Luís Manuel Tadeu Marques;300.61;14046;15620;906
2663;GRÂNDOLA;Município;506823318;Rua Dr. José Pereira Barradas;GRÂNDOLA;7570-281;GRÂNDOLA;geral@cm-grandola.pt;269450000;269451498;www.cm-grandola.pt;António Jesus Figueira Mendes;824.87;14826;12651;1505
2664;GUARDA;Município;501131140;Praça do Município;GUARDA;6301-854;GUARDA;geral@mun-guarda.pt;271220200;271220272;www.mun-guarda.pt;Álvaro dos  Santos Amaro;712.1;42541;39796;907
2665;GUIMARÃES;Município;505948605;Largo Cónego José Maria Gomes;GUIMARÃES;4804-534;GUIMARÃES;geral@cm-guimaraes.pt;253421200;253515134;www.guimaraes.pt;Domingos Bragança Salgado;241.04;158124;141076;308
